"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"R11,R10,R8,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"133R 0,1%";;;
2;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"60R";;;
3;"C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1µF 16V";;;
4;"C12,C9,C14,C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"100nF 25V";;;
5;"C16,C1,C17,C19,C18,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"100nF";;;
6;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"470pF";;;
7;"D6,D5,D4";"D_SOD-882D";3;"ESDALC5-1BT2";;;
8;"R13,R4,R1,R3,R12,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10k";;;
9;"R22,R20,R21,R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"0R";;;
10;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"182k 0,1%";;;
11;"L1";"L_10.4x10.4_H4.8";1;"33uH";;;
12;"D1";"D_SOD-123";1;"Schottky 500mA";;;
13;"R15,R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k 1%";;;
14;"U1";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS";;;
15;"J2";"1985195";1;"PTSA 1,5/ 2-3,5-Z";;;
16;"D2";"D_SOD-323_HandSoldering";1;"1N4148";;;
17;"R17,R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k 1%";;;
18;"U3";"SOT-23-5";1;"LM2735X (1.6MHz)";;;
19;"S1";"SW_TS07-667-30-BK-100-SMT-TR";1;"TS07-667-30-BK-100-SMT-TR";;;
20;"F1";"Fuse_0805_2012Metric";1;"BSMD0805-035-6V";;;
21;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uF";;;
22;"C13,C11,C7,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"10µF 25V";;;
23;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"33nF";;;
24;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
25;"D3";"D_SOD-123";1;"1N5819HW-7-F";;;
26;"J5";"GCT_USB4110GFA";1;"USB4110GFA";;;
27;"U4";"ESP32-C6-WROOM-1";1;"ESP32-C6-WROOM-1";;;
28;"J3";"1985250";1;"PTSA 1,5/ 8-3,5-Z";;;
29;"J1";"PinHeader_1x14_P2.54mm_Vertical";1;"TFT";;;
30;"D7";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2.1V 20mA";;;
31;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
32;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k 0,1%";;;
33;"U5";"SOT-223-3_TabPin2";1;"MCP1826S-3302E/DB";;;
